word1,word2,human_score,cosine_similarity
uholela,ulishebe,0.320312,0.23953876
umvuzo.,umgqigqo.,0.572834,0.87445974
oyiphini,lezinhlobonhlobo,0.369218,0.38799512
uyambonga,unzama,0.287266,0.36547825
uphephile,u-r1,0.257493,0.4711418
ukusheshisa,kusanelesi,0.251469,0.40846115
ngalesi,ugrade,0.301321,0.37245825
amasu,amasoka,0.670608,0.7974048
umfanafuthi,zisesikole,0.339102,0.31588703
nezibhamu.,yentengo,0.443261,0.30642277
enkulu,ngokuphelele.,0.235296,0.046379134
athuthukise,sisiza,0.231071,0.16779403
uvuke,ujose,0.598002,0.49340424
i-zesco,ilanga,0.293704,0.09791426
impumelelo,imfundo,0.265226,0.34008718
u-r200,udlalwa,0.581176,0.57569045
umfazi,umuntu,0.341659,0.48809624
ungobeni,ulalele,0.536931,0.40323544
othandekayo,wami,0.503953,0.80827236
ibhange,isikweletu,0.473722,0.369725
iyindlela,uma,0.246817,0.221788
bayabona,ngamandla,0.276476,-0.0007941301
basenyuvesi,sehlobo,0.262576,0.39082962
sikhathi,ezigulayo,0.137191,0.21547794
948),kuboshelwe,0.294162,0.5240186
ubabonga,uyahlula,0.281708,0.22665745
iyasitshintsha,iculo,0.565843,0.65324503
uhuru,udumi,0.551168,0.5582404
bukhona,emasimini,0.257099,0.11606542
izimakethe,izingxabano,0.364255,0.39301193
yifortuner.,asebekhule,0.200486,0.3492335
afrika,ukuletha,0.267416,0.175969
emoyeni,uyanakekela,0.365487,0.29201692
beyokukha,enkundleni,0.159975,0.11307296
abantu,othandwa,0.281331,0.30786118
bawe,kube,0.328612,0.17833021
usetshenziswa,uzwa,0.424362,0.3107804
njengamanzi,ngomsombuluko,0.205848,0.29371092
eyingxenye,umphumela,0.301559,0.19700292
ulishebe,ngengozi,0.435009,0.3961898
ubongani,uvumayo,0.361972,0.3270901
inkampani,inhlamvu,0.291269,0.5577567
umnotho,umfanafuthi,0.269471,0.20036267
uyahlinzeka,uphiwe,0.357632,0.3600354
kuvumela,odokotela,0.306051,0.20917848
isikole,incwadi,0.437842,0.44558826
(saps),824),0.443802,0.57240266
usemncane,untencane,0.65421,0.78513753
enoordgesig,ngipaka,0.385614,0.37324634
