word1,word2,human_score,cosine_similarity
uholela,ulishebe,0.320312,0.31518582
ngalesi,ugrade,0.301321,0.7879617
umfanafuthi,zisesikole,0.339102,0.23232807
enkulu,ngokuphelele.,0.235296,0.2600977
athuthukise,sisiza,0.231071,0.5194591
impumelelo,imfundo,0.265226,0.043112785
umfazi,umuntu,0.341659,0.13497
othandekayo,wami,0.503953,0.87858415
iyindlela,uma,0.246817,0.26294672
bayabona,ngamandla,0.276476,0.119237185
basenyuvesi,sehlobo,0.262576,0.36344054
sikhathi,ezigulayo,0.137191,0.4845898
bukhona,emasimini,0.257099,0.14764309
izimakethe,izingxabano,0.364255,0.5632911
afrika,ukuletha,0.267416,0.17719854
emoyeni,uyanakekela,0.365487,0.46077898
beyokukha,enkundleni,0.159975,0.49066713
abantu,othandwa,0.281331,0.23737545
njengamanzi,ngomsombuluko,0.205848,0.58856034
ubongani,uvumayo,0.361972,0.25289378
inkampani,inhlamvu,0.291269,0.25928178
umnotho,umfanafuthi,0.269471,0.1220749
kuvumela,odokotela,0.306051,0.16358534
isikole,incwadi,0.437842,0.38547313
upheka,ubuhlungu,0.323767,0.48634636
isibalo,usukule,0.279971,0.7458473
umphakathi.,esithangamini,0.169589,0.4087995
obukhulu,umsebenzi,0.298936,0.2707262
eminingi,esinzima,0.248168,0.1137392
ezomthetho,ngomoya,0.268517,0.2210395
amade,yize,0.235043,0.15832715
indiza,uhambo,0.454374,0.5051241
uxaba.,uzophokophelela,0.421572,0.60529345
uthisha,ukufunda,0.397279,0.22148368
ngakho-ke,yothando,0.308835,0.29179552
izinkomo,izinja,0.53942,0.7149958
baqonda,bezikhungo,0.233582,0.089525215
ukwelapha,impilo,0.294091,0.25542596
kwethu.,anjalo,0.088302,0.30935898
unyaka,uthatha,0.348932,0.4038592
abantwana,ngemfundo,0.4055,-0.009597138
abanakekeli,eminingi,0.291476,0.1976288
isinkwa,indoda,0.209668,0.34741235
oluthathwa,sakubo,0.409899,0.2795218
ikhono,i-affinity,0.346649,0.5432306
okwamanje,unomvula,0.426934,0.44805738
wasenyuvesi,zomphakathi,0.377334,0.35564452
bafeza,emifundazweni,0.438797,0.4089865
injabulo,ophekaayo,0.38972,0.19663918
ngendlela,zokusebenza,0.276283,0.23857954
lwaze,lwezobunhloli,0.659666,0.8758368
ibhola,imidlalo,0.390663,0.15514386
abanye,sokwenza,0.270202,0.18075855
ezimbalwa,omkhulu,0.26271,0.17741859
emikhulu,ubuqhawe,0.295506,0.3061851
zesizwe,zokuthengisa,0.33267,0.16518664
nabafundi,lisetshenziswa,0.258268,0.7303803
abagqi,esiqinile,0.235891,0.18672629
